title,address,latitude,longitude,city,state,postal_code,price,facts and features,real estate provider,url
New Construction,740 Abernathy Rd NE # EWXJWP,33.937569,-84.365104,Sandy Springs,GA,30328,"$1,099,900+","3 bds , 3.5 ba , 4,193+ sqft",,https://www.zillow.com/community/aria/2094935237_zpid/
Condo For Sale,795 Hammond Dr APT 711,33.917487,-84.3594,Sandy Springs,GA,30328,"$115,000","1 bd , 1 ba , 541 sqft",NATHANS REALTY,https://www.zillow.com/homedetails/795-Hammond-Dr-APT-711-Sandy-Springs-GA-30328/2090287260_zpid/
Condo For Sale,795 Hammond Dr APT 2305,33.917487,-84.3594,Sandy Springs,GA,30328,"$269,000","2 bds , 2 ba , 1,309 sqft",NATHANS REALTY,https://www.zillow.com/homedetails/795-Hammond-Dr-APT-2305-Sandy-Springs-GA-30328/2090287435_zpid/
Condo For Sale,795 Hammond Dr APT 1901,33.917487,-84.3594,Sandy Springs,GA,30328,"$196,000","2 bds , 1 ba , 975 sqft",NATHANS REALTY,https://www.zillow.com/homedetails/795-Hammond-Dr-APT-1901-Sandy-Springs-GA-30328/2090287361_zpid/
Condo For Sale,795 Hammond Dr APT 810,33.917487,-84.3594,Sandy Springs,GA,30328,"$105,000","1 bd , 1 ba , 447 sqft",NATHANS REALTY,https://www.zillow.com/homedetails/795-Hammond-Dr-APT-810-Sandy-Springs-GA-30328/2090287360_zpid/
Condo For Sale,795 Hammond Dr APT 1111,33.917487,-84.3594,Sandy Springs,GA,30328,"$123,000","1 bd , 1 ba , 541 sqft",NATHANS REALTY,https://www.zillow.com/homedetails/795-Hammond-Dr-APT-1111-Sandy-Springs-GA-30328/2090287493_zpid/
Condo For Sale,725 Dalrymple Rd UNIT 8I,33.954471,-84.363731,ATLANTA,GA,30328,"$109,900","2 bds , 2 ba , 1,094 sqft",Weichert Realtors Cara and Assoc.,https://www.zillow.com/homedetails/725-Dalrymple-Rd-UNIT-8I-Atlanta-GA-30328/35925908_zpid/
Townhouse For Sale,6900 Roswell Rd APT E1,33.943094,-84.374337,Atlanta,GA,30328,"$195,000","3 bds , 3 ba , 1,434 sqft",EXP Realty LLC,https://www.zillow.com/homedetails/6900-Roswell-Rd-APT-E1-Atlanta-GA-30328/2090287629_zpid/
House For Sale,850 Glenairy Dr,33.925378,-84.364583,Sandy springs,GA,30328,"$1,500,000","5 bds , 6 ba , 6,950 sqft",KELLER WILLIAMS REALTY ATL NORTH,https://www.zillow.com/homedetails/850-Glenairy-Dr-Sandy-Springs-GA-30328/35926200_zpid/
House For Sale,6405 Colebridge Rd,33.930115,-84.394649,SANDY SPRINGS,GA,30328,"$459,900","3 bds , 3 ba , 1,521 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/6405-Colebridge-Rd-Sandy-Springs-GA-30328/35904230_zpid/
Coming Soon,7265 Village Creek Trce,33.953411,-84.355192,SANDY SPRINGS,GA,30328,"$419,000","4 bds , 4 ba , 2,500 sqft",,https://www.zillow.com/homedetails/7265-Village-Creek-Trce-Sandy-Springs-GA-30328/65465752_zpid/
New Construction,5725 Winterthur Ln,33.914224,-84.434756,Sandy springs,GA,30328,"$2,225,000","8 bds , 8 ba , 7,800 sqft",Muffley & Associates,https://www.zillow.com/homedetails/5725-Winterthur-Ln-Sandy-Springs-GA-30328/35919305_zpid/
Townhouse For Sale,6520 Roswell Rd UNIT 35,33.933091,-84.380821,Atlanta,GA,30328,"$179,900","3 bds , 3 ba , 1,534 sqft",,https://www.zillow.com/homedetails/6520-Roswell-Rd-UNIT-35-Atlanta-GA-30328/2090304794_zpid/
New Construction,2009 Wheaton Way # U3ONVV,33.914116,-84.383711,Sandy Springs,GA,30328,"$613,990+","4 bds , 4 ba , 2,900+ sqft",,https://www.zillow.com/community/atwater/2091462182_zpid/
House For Sale,1165 Winding Creek Trl,33.92768,-84.40738,ATLANTA,GA,30328,"$500,000","5 bds , 4 ba , 4,190 sqft",,https://www.zillow.com/homedetails/1165-Winding-Creek-Trl-Atlanta-GA-30328/35912640_zpid/
Townhouse For Sale,980 Bergeron Pl,33.93332,-84.35897,Atlanta,GA,30328,"$465,000","4 bds , 4 ba , 2,352 sqft",,https://www.zillow.com/homedetails/980-Bergeron-Pl-Atlanta-GA-30328/2099585901_zpid/
Townhouse For Sale,6520 Road # 35,33.9314,-84.3763,Atlanta,GA,30328,"$179,900","3 bds , 3 ba , 1,534 sqft",,https://www.zillow.com/homedetails/6520-Road-35-Atlanta-GA-30328/55018499_zpid/
House For Sale,605 Dalrymple Rd,33.955489,-84.366563,SANDY SPRINGS,GA,30328,"$459,900","6 bds , 3 ba , 3,604 sqft","Good Shepherd Realty, LLC",https://www.zillow.com/homedetails/605-Dalrymple-Rd-Sandy-Springs-GA-30328/35925910_zpid/
Condo For Sale,6980 Roswell Rd UNIT A4,33.945119,-84.372969,Atlanta,GA,30328,"$240,000","3 bds , 3 ba , 1,632 sqft",Atlantic West Properties LLC,https://www.zillow.com/homedetails/6980-Roswell-Rd-UNIT-A4-Atlanta-GA-30328/98001982_zpid/
New Construction,2009 Wheaton Way # RX0RLM,33.914116,-84.383711,Sandy Springs,GA,30328,"$581,990+","4 bds , 4 ba , 3,050+ sqft",,https://www.zillow.com/community/atwater/2091711654_zpid/
House For Sale,15 Old Vermont Pl,33.920842,-84.422103,Atlanta,GA,30328,"$1,575,000","6 bds , 9 ba , 6,216 sqft",,https://www.zillow.com/homedetails/15-Old-Vermont-Pl-Atlanta-GA-30328/2090338641_zpid/
Condo For Sale,6940 Roswell Rd UNIT F23,33.944156,-84.373199,ATLANTA,GA,30328,"$120,000","1 bd , 2 ba , 1,000 sqft",Mark Spain Real Estate,https://www.zillow.com/homedetails/6940-Roswell-Rd-UNIT-F23-Atlanta-GA-30328/69370338_zpid/
Townhouse For Sale,901 Abernathy Rd APT 2210,33.932684,-84.3611,SANDY SPRINGS,GA,30328,"$275,500","2 bds , 2 ba , 1,002 sqft",,https://www.zillow.com/homedetails/901-Abernathy-Rd-APT-2210-Sandy-Springs-GA-30328/112087177_zpid/
