title,address,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
Condo For Sale,1407 Mcgill Park Ave NE UNIT 1407,Atlanta,GA,30312,162000,1,1,814,Berkshire Hathaway HomeServices Georgia Properties - Midtown Office,https://www.zillow.com/homedetails/1407-Mcgill-Park-Ave-NE-UNIT-1407-Atlanta-GA-30312/2090371017_zpid/
Condo For Sale,145 15th St NE APT 404,Atlanta,GA,30309,450000,2,2,"1,412",,https://www.zillow.com/homedetails/145-15th-St-NE-APT-404-Atlanta-GA-30309/35898843_zpid/
Condo For Sale,384 Ralph Mcgill Blvd NE UNIT 214,Atlanta,GA,30312,272000,2,2,"1,050",,https://www.zillow.com/homedetails/384-Ralph-Mcgill-Blvd-NE-UNIT-214-Atlanta-GA-30312/88820412_zpid/
Condo For Sale,1407 Mcgill Park Ave NE # 1407,Atlanta,GA,30312,162000,1,1,814,BHHS Georgia Properties,https://www.zillow.com/homedetails/1407-Mcgill-Park-Ave-NE-1407-Atlanta-GA-30312/2090375533_zpid/
Condo For Sale,45 Ivan Allen Jr Blvd NW UNIT 2702,Atlanta,GA,30308,2750000,2,3,"2,978",Coldwell Banker Residential Brokerage - Buckhead West Paces Ferry,https://www.zillow.com/homedetails/45-Ivan-Allen-Jr-Blvd-NW-UNIT-2702-Atlanta-GA-30308/108596151_zpid/
Condo For Sale,220 Renaissance Pkwy NE APT 1210,Atlanta,GA,30308,195000,1,1,881,Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/220-Renaissance-Pkwy-NE-APT-1210-Atlanta-GA-30308/35881335_zpid/
Condo For Sale,860 Peachtree St NE UNIT 1115,Atlanta,GA,30308,279500,1,1,701,VIRTUAL PROPERTIES REALTY BIZ,https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-1115-Atlanta-GA-30308/71759084_zpid/
Townhouse For Sale,543 Winton Ter NE UNIT A,Atlanta,GA,30308,729000,3,4,"2,253",,https://www.zillow.com/homedetails/543-Winton-Ter-NE-UNIT-A-Atlanta-GA-30308/2090376488_zpid/
Townhouse For Sale,543 Winton Ter NE UNIT B,Atlanta,GA,30308,749000,3,4,"2,253",,https://www.zillow.com/homedetails/543-Winton-Ter-NE-UNIT-B-Atlanta-GA-30308/2090376489_zpid/
Condo For Sale,45 Ivan Allen Jr Blvd NW UNIT 2702,Atlanta,GA,30308,2750000,2,3,"2,978",Coldwell Banker Residential Brokerage - Buckhead West Paces Ferry,https://www.zillow.com/homedetails/45-Ivan-Allen-Jr-Blvd-NW-UNIT-2702-Atlanta-GA-30308/108596151_zpid/
Condo For Sale,220 Renaissance Pkwy NE APT 1210,Atlanta,GA,30308,195000,1,1,881,Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/220-Renaissance-Pkwy-NE-APT-1210-Atlanta-GA-30308/35881335_zpid/
Condo For Sale,860 Peachtree St NE UNIT 1115,Atlanta,GA,30308,279500,1,1,701,VIRTUAL PROPERTIES REALTY BIZ,https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-1115-Atlanta-GA-30308/71759084_zpid/
Condo For Sale,860 Peachtree St NE UNIT 1103,Atlanta,GA,30308,259900,1,1,707,SOLID SOURCE REALTY GA LLC,https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-1103-Atlanta-GA-30308/71757828_zpid/
House For Sale,421 7th St NE,Atlanta,GA,30308,1100000,3,3,"2,592",Dorsey Alston Realtors,https://www.zillow.com/homedetails/421-7th-St-NE-Atlanta-GA-30308/35879880_zpid/
Condo For Sale,800 Peachtree St NE APT 8229,Atlanta,GA,30308,244900,1,1,"1,004",Atlanta Communities,https://www.zillow.com/homedetails/800-Peachtree-St-NE-APT-8229-Atlanta-GA-30308/65462023_zpid/
Condo For Sale,300 Peachtree St NE APT 16E,Atlanta,GA,30308,179850,1,1,721,RE/MAX Metro Atlanta Cityside,https://www.zillow.com/homedetails/300-Peachtree-St-NE-APT-16E-Atlanta-GA-30308/35888904_zpid/
Condo For Sale,300 Peachtree St NE APT 16J,Atlanta,GA,30308,180000,1,1,722,MAXIMUM ONE REALTY GREATER ATL,https://www.zillow.com/homedetails/300-Peachtree-St-NE-APT-16J-Atlanta-GA-30308/35889006_zpid/
Condo For Sale,45 Ivan Allen Jr Blvd NW UNIT 2704,Atlanta,GA,30308,2695000,3,4,"4,154",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/45-Ivan-Allen-Jr-Blvd-NW-UNIT-2704-Atlanta-GA-30308/108605485_zpid/
Condo For Sale,679 Durant Pl NE APT E,Atlanta,GA,30308,350000,2,1,"1,460",KELLER KNAPP INC,https://www.zillow.com/homedetails/679-Durant-Pl-NE-APT-E-Atlanta-GA-30308/2099607836_zpid/
Condo For Sale,845 Spring St NW UNIT 527,Atlanta,GA,30308,289900,1,1,"1,025",,https://www.zillow.com/homedetails/845-Spring-St-NW-UNIT-527-Atlanta-GA-30308/82632547_zpid/
Condo For Sale,300 NW W. Peachtree # 16-L,Atlanta,GA,30308,145000,1,1,609,,https://www.zillow.com/homedetails/300-NW-W-Peachtree-16-L-Atlanta-GA-30308/2090522743_zpid/
Condo For Sale,860 Peachtree St NE UNIT 2803,Atlanta,GA,30308,299000,1,1,707,Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/860-Peachtree-St-NE-UNIT-2803-Atlanta-GA-30308/71754990_zpid/
Condo For Sale,800 Peachtree St NE APT 8414,Atlanta,GA,30308,210000,1,1,852,PalmerHouse Properties,https://www.zillow.com/homedetails/800-Peachtree-St-NE-APT-8414-Atlanta-GA-30308/65462061_zpid/
Condo For Sale,215 Piedmont Ave NE APT 1905,Atlanta,GA,30308,120000,1,1,550,Replete Realty LLC,https://www.zillow.com/homedetails/215-Piedmont-Ave-NE-APT-1905-Atlanta-GA-30308/35881731_zpid/
